Group,Putative stress type,Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection,Stress type,Stress intensity,Stress duration (in hrs),Reason for assignment,Control /Treatment,Run,Experiment,Sample,taxid,name
,Heat,SRX11547268,TC22,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582885,,3083.91,1,35233794,10640605788,TC22,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1.5,Biosample Reference,Control,SRR15241114,SRX11547268,SRS9582885,4577,Zea mays
,Heat,SRX11547267,TC13,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582884,,2377.54,1,27286410,8240495820,TC13,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241115,SRX11547267,SRS9582884,4577,Zea mays
,Heat,SRX11547266,TC4,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582883,,2689.18,1,30806368,9303523136,TC4,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,0.5,Biosample Reference,Control,SRR15241116,SRX11547266,SRS9582883,4577,Zea mays
,Heat,SRX11547265,TC1,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582882,,2478.95,1,28343684,8559792568,TC1,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,0,Biosample Reference,Control,SRR15241117,SRX11547265,SRS9582882,4577,Zea mays
,Heat,SRX11547264,TC64,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582881,,2770.45,1,31567752,9533461104,TC64,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241118,SRX11547264,SRS9582881,4577,Zea mays
,Heat,SRX11547263,TC56,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582880,,2386.5,1,27282104,8239195408,TC56,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,8,Biosample Reference,Treatment,SRR15241119,SRX11547263,SRS9582880,4577,Zea mays
,Heat,SRX11547262,TC49,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582879,,2437.93,1,27918671,8431438642,TC49,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,4,Biosample Reference,Treatment,SRR15241120,SRX11547262,SRS9582879,4577,Zea mays
,Heat,SRX11547261,HY52,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582878,,3033.09,1,34893143,10537729186,HY52,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241121,SRX11547261,SRS9582878,4577,Zea mays
,Heat,SRX11547260,TC41,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582877,,3134.48,1,35693289,10779373278,TC41,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,3,Biosample Reference,Treatment,SRR15241122,SRX11547260,SRS9582877,4577,Zea mays
,Heat,SRX11547259,TC34,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582876,,2906.03,1,33144134,10009528468,TC34,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,2,Biosample Reference,Treatment,SRR15241123,SRX11547259,SRS9582876,4577,Zea mays
,Heat,SRX11547258,TC26,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582875,,2295.16,1,26087579,7878448858,TC26,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1.5,Biosample Reference,Treatment,SRR15241124,SRX11547258,SRS9582875,4577,Zea mays
,Heat,SRX11547257,TC20,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582874,,3005.96,1,33888404,10234298008,TC20,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241125,SRX11547257,SRS9582874,4577,Zea mays
,Heat,SRX11547256,TC10,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582873,,2683.8,1,30800085,9301625670,TC10,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,0.5,Biosample Reference,Treatment,SRR15241126,SRX11547256,SRS9582873,4577,Zea mays
,Heat,SRX11547255,NM75,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582872,,2346.29,1,26596408,8032115216,NM75,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241127,SRX11547255,SRS9582872,4577,Zea mays
,Heat,SRX11547254,NM50,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582871,,2835.03,1,32290231,9751649762,NM50,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241128,SRX11547254,SRS9582871,4577,Zea mays
,Heat,SRX11547253,NM100,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582869,,2350.79,1,26906448,8125747296,NM100,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241129,SRX11547253,SRS9582869,4577,Zea mays
,Heat,SRX11547252,NM25,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582870,,2793.34,1,31922285,9640530070,NM25,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241130,SRX11547252,SRS9582870,4577,Zea mays
,Heat,SRX11547251,NM74,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582868,,3271.95,1,37111525,11207680550,NM74,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241131,SRX11547251,SRS9582868,4577,Zea mays
,Heat,SRX11547250,HY46,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582867,,3031.13,1,35056173,10586964246,HY46,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241132,SRX11547250,SRS9582867,4577,Zea mays
,Heat,SRX11547249,NM49,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582866,,2872.98,1,32801913,9906177726,NM49,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241133,SRX11547249,SRS9582866,4577,Zea mays
,Heat,SRX11547248,NM99,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582865,,2917.53,1,33106774,9998245748,NM99,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241134,SRX11547248,SRS9582865,4577,Zea mays
,Heat,SRX11547247,NM24,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582863,,2928.94,1,33452607,10102687314,NM24,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241135,SRX11547247,SRS9582863,4577,Zea mays
,Heat,SRX11547246,NM66,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582864,,2689.36,1,30565153,9230676206,NM66,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241136,SRX11547246,SRS9582864,4577,Zea mays
,Heat,SRX11547245,NM41,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582862,,2986.37,1,33868682,10228341964,NM41,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241137,SRX11547245,SRS9582862,4577,Zea mays
,Heat,SRX11547244,NM91,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582861,,2953.4,1,33595760,10145919520,NM91,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241138,SRX11547244,SRS9582861,4577,Zea mays
,Heat,SRX11547243,NM16,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582860,,2301.34,1,25584080,7726392160,NM16,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241139,SRX11547243,SRS9582860,4577,Zea mays
,Heat,SRX11547242,NM65,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582859,,2824.96,1,31981792,9658501184,NM65,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241140,SRX11547242,SRS9582859,4577,Zea mays
,Heat,SRX11547241,NM40,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582858,,2758.1,1,31186649,9418367998,NM40,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241141,SRX11547241,SRS9582858,4577,Zea mays
,Heat,SRX11547240,NM90,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582857,,2572.76,1,29499382,8908813364,NM90,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241142,SRX11547240,SRS9582857,4577,Zea mays
,Heat,SRX11547239,NM15,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582856,,2493.74,1,28023836,8463198472,NM15,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241143,SRX11547239,SRS9582856,4577,Zea mays
,Heat,SRX11547238,NM64,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582855,,2502.94,1,28355175,8563262850,NM64,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241144,SRX11547238,SRS9582855,4577,Zea mays
,Heat,SRX11547237,HY109,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582854,,2757.2,1,31505974,9514804148,HY109,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241145,SRX11547237,SRS9582854,4577,Zea mays
,Heat,SRX11547236,NM39,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582853,,2697.62,1,30598443,9240729786,NM39,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241146,SRX11547236,SRS9582853,4577,Zea mays
,Heat,SRX11547235,NM89,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582852,,3861.4,1,44206725,13350430950,NM89,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241147,SRX11547235,SRS9582852,4577,Zea mays
,Heat,SRX11547234,NM14,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582851,,1980.14,1,22255713,6721225326,NM14,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241148,SRX11547234,SRS9582851,4577,Zea mays
,Heat,SRX11547233,NM63,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582850,,3022.07,1,34218686,10334043172,NM63,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241149,SRX11547233,SRS9582850,4577,Zea mays
,Heat,SRX11547232,NM38,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582849,,2809.36,1,31640128,9555318656,NM38,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241150,SRX11547232,SRS9582849,4577,Zea mays
,Heat,SRX11547231,NM88,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582848,,4043.43,1,46452244,14028577688,NM88,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241151,SRX11547231,SRS9582848,4577,Zea mays
,Heat,SRX11547230,NM13,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582847,,3117.4,1,35529566,10729928932,NM13,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241152,SRX11547230,SRS9582847,4577,Zea mays
,Heat,SRX11547229,NM62,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582846,,2742.91,1,31003529,9363065758,NM62,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241153,SRX11547229,SRS9582846,4577,Zea mays
,Heat,SRX11547228,NM37,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582845,,2948.62,1,33536039,10127883778,NM37,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241154,SRX11547228,SRS9582845,4577,Zea mays
,Heat,SRX11547227,NM87,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582844,,2386.13,1,27321267,8251022634,NM87,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241155,SRX11547227,SRS9582844,4577,Zea mays
,Heat,SRX11547226,HY67,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582843,,2747.19,1,31888595,9630355690,HY67,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241156,SRX11547226,SRS9582843,4577,Zea mays
,Heat,SRX11547225,NM12,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582842,,2988.67,1,34015630,10272720260,NM12,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241157,SRX11547225,SRS9582842,4577,Zea mays
,Heat,SRX11547224,NM61,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582841,,2754.29,1,31512890,9516892780,NM61,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241158,SRX11547224,SRS9582841,4577,Zea mays
,Heat,SRX11547223,NM36,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582839,,2718.03,1,31115524,9396888248,NM36,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241159,SRX11547223,SRS9582839,4577,Zea mays
,Heat,SRX11547222,NM86,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582840,,2660.36,1,30026065,9067871630,NM86,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241160,SRX11547222,SRS9582840,4577,Zea mays
,Heat,SRX11547221,NM60,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582838,,2463.67,1,27846481,8409637262,NM60,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241161,SRX11547221,SRS9582838,4577,Zea mays
,Heat,SRX11547220,NM35,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582837,,2567.32,1,29067991,8778533282,NM35,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241162,SRX11547220,SRS9582837,4577,Zea mays
,Heat,SRX11547219,NM85,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582836,,3273.43,1,37490683,11322186266,NM85,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241163,SRX11547219,SRS9582836,4577,Zea mays
,Heat,SRX11547218,NM10,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582835,,3095.83,1,35649334,10766098868,NM10,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241164,SRX11547218,SRS9582835,4577,Zea mays
,Heat,SRX11547217,NM59,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582834,,2716.81,1,30525385,9218666270,NM59,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241165,SRX11547217,SRS9582834,4577,Zea mays
,Heat,SRX11547216,NM34,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582833,,3192.54,1,36100210,10902263420,NM34,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241166,SRX11547216,SRS9582833,4577,Zea mays
,Heat,SRX11547215,HY61,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582832,,2822.37,1,32557513,9832368926,HY61,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,1,Biosample Reference,Treatment,SRR15241167,SRX11547215,SRS9582832,4577,Zea mays
,Heat,SRX11547214,HY79,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582831,,2469.22,1,28364986,8566225772,HY79,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241168,SRX11547214,SRS9582831,4577,Zea mays
,Heat,SRX11547213,NM51,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582830,,2577.1,1,29205881,8820176062,NM51,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,25,Biosample Reference,Control,SRR15241169,SRX11547213,SRS9582830,4577,Zea mays
,Heat,SRX11547212,NM26,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582829,,2421.7,1,27032359,8163772418,NM26,RNA-Seq,TRANSCRIPTOMIC,unspecified,Temperature,30℃/20℃,1,Biosample Reference,Control,SRR15241170,SRX11547212,SRS9582829,4577,Zea mays
,Heat,SRX11547211,NM76,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582828,,2418.15,1,27279924,8238537048,NM76,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,25,Biosample Reference,Treatment,SRR15241171,SRX11547211,SRS9582828,4577,Zea mays
,Heat,SRX11547210,NM1,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582827,,2747.68,1,31506564,9514982328,NM1,RNA-Seq,TRANSCRIPTOMIC,unspecified,Cold,6℃/2℃,1,Biosample Reference,Treatment,SRR15241172,SRX11547210,SRS9582827,4577,Zea mays
,Heat,SRX11547209,HY126,Zea mays,Illumina NovaSeq 6000,University of Minnesota,SRP329764,Prediction of conserved and variable heat and cold stress response in maize using cis-regulatory information,SRS9582826,,2722.69,1,30736192,9282329984,HY126,RNA-Seq,TRANSCRIPTOMIC,unspecified,Heat,39℃/29℃,25,Biosample Reference,Treatment,SRR15241173,SRX11547209,SRS9582826,4577,Zea mays
